symbol,tf,model,variant_k,side,entry_time_ms,entry_time,entry_price,exit_time_ms,exit_time,exit_reason,pnl_pct,mae_pct,time_to_close_min,win
ADAUSDT,15m,LSTM,9,long,1727864999999,2024-10-02 10:29,0.3539,1727866559999,2024-10-02 10:55,SL,-1.0,-1.10201,26,False
ADAUSDT,15m,LSTM,9,short,1727910899999,2024-10-02 23:14,0.344,1727915879999,2024-10-03 00:37,SL,0.50505,-0.23202,83,True
ADAUSDT,15m,DQN,9,long,1727864999999,2024-10-02 10:29,0.3539,1727866559999,2024-10-02 10:55,SL,-1.0,-1.10201,26,False
ADAUSDT,15m,DQN,9,short,1727910899999,2024-10-02 23:14,0.344,1727915879999,2024-10-03 00:37,SL,0.50505,-0.23202,83,True
ADAUSDT,15m,PPO,9,long,1727864999999,2024-10-02 10:29,0.3539,1727866559999,2024-10-02 10:55,SL,-1.0,-1.10201,26,False
ADAUSDT,15m,PPO,9,short,1727910899999,2024-10-02 23:14,0.344,1727915879999,2024-10-03 00:37,SL,0.50505,-0.23202,83,True
ADAUSDT,15m,QLearning,9,long,1727864999999,2024-10-02 10:29,0.3539,1727866559999,2024-10-02 10:55,SL,-1.0,-1.10201,26,False
ADAUSDT,15m,QLearning,9,short,1727910899999,2024-10-02 23:14,0.344,1727915879999,2024-10-03 00:37,SL,0.50505,-0.23202,83,True
ADAUSDT,15m,Transformer,9,long,1727864999999,2024-10-02 10:29,0.3539,1727866559999,2024-10-02 10:55,SL,-1.0,-1.10201,26,False
ADAUSDT,15m,Transformer,9,short,1727910899999,2024-10-02 23:14,0.344,1727915879999,2024-10-03 00:37,SL,0.50505,-0.23202,83,True
ADAUSDT,15m,CNN,10,long,1727868599999,2024-10-02 11:29,0.3522,1727870759999,2024-10-02 12:05,SL,-1.0,-1.16411,36,False
ADAUSDT,15m,CNN,10,short,1727929799999,2024-10-03 04:29,0.3476,1727943539999,2024-10-03 08:18,TP3,1.68325,-0.42968,229,True
ADAUSDT,15m,LSTM,10,long,1727868599999,2024-10-02 11:29,0.3522,1727870759999,2024-10-02 12:05,SL,-1.0,-1.16411,36,False
ADAUSDT,15m,LSTM,10,short,1727929799999,2024-10-03 04:29,0.3476,1727943539999,2024-10-03 08:18,TP3,1.68325,-0.42968,229,True
ADAUSDT,15m,DQN,10,long,1727868599999,2024-10-02 11:29,0.3522,1727870759999,2024-10-02 12:05,SL,-1.0,-1.16411,36,False
ADAUSDT,15m,DQN,10,short,1727929799999,2024-10-03 04:29,0.3476,1727943539999,2024-10-03 08:18,TP3,1.68325,-0.42968,229,True
ADAUSDT,15m,PPO,10,long,1727868599999,2024-10-02 11:29,0.3522,1727870759999,2024-10-02 12:05,SL,-1.0,-1.16411,36,False
ADAUSDT,15m,PPO,10,short,1727929799999,2024-10-03 04:29,0.3476,1727943539999,2024-10-03 08:18,TP3,1.68325,-0.42968,229,True
ADAUSDT,15m,QLearning,10,long,1727868599999,2024-10-02 11:29,0.3522,1727870759999,2024-10-02 12:05,SL,-1.0,-1.16411,36,False
ADAUSDT,15m,QLearning,10,short,1727929799999,2024-10-03 04:29,0.3476,1727943539999,2024-10-03 08:18,TP3,1.68325,-0.42968,229,True
ADAUSDT,15m,Transformer,10,long,1727868599999,2024-10-02 11:29,0.3522,1727870759999,2024-10-02 12:05,SL,-1.0,-1.16411,36,False
ADAUSDT,15m,Transformer,10,short,1727929799999,2024-10-03 04:29,0.3476,1727943539999,2024-10-03 08:18,TP3,1.68325,-0.42968,229,True
ADAUSDT,15m,CNN,11,long,1727873099999,2024-10-02 12:44,0.3497,1727874359999,2024-10-02 13:05,SL,-1.0,-1.05805,21,False
ADAUSDT,15m,CNN,11,short,1727987399999,2024-10-03 20:29,0.3409,1727994779999,2024-10-03 22:32,SL,-0.9901,-1.07371,123,False
ADAUSDT,15m,LSTM,11,long,1727873099999,2024-10-02 12:44,0.3497,1727874359999,2024-10-02 13:05,SL,-1.0,-1.05805,21,False
ADAUSDT,15m,LSTM,11,short,1727987399999,2024-10-03 20:29,0.3409,1727994779999,2024-10-03 22:32,SL,-0.9901,-1.07371,123,False
ADAUSDT,15m,DQN,11,long,1727873099999,2024-10-02 12:44,0.3497,1727874359999,2024-10-02 13:05,SL,-1.0,-1.05805,21,False
ADAUSDT,15m,DQN,11,short,1727987399999,2024-10-03 20:29,0.3409,1727994779999,2024-10-03 22:32,SL,-0.9901,-1.07371,123,False
ADAUSDT,15m,PPO,11,long,1727873099999,2024-10-02 12:44,0.3497,1727874359999,2024-10-02 13:05,SL,-1.0,-1.05805,21,False
ADAUSDT,15m,PPO,11,short,1727987399999,2024-10-03 20:29,0.3409,1727994779999,2024-10-03 22:32,SL,-0.9901,-1.07371,123,False
ADAUSDT,15m,QLearning,11,long,1727873099999,2024-10-02 12:44,0.3497,1727874359999,2024-10-02 13:05,SL,-1.0,-1.05805,21,False
ADAUSDT,15m,QLearning,11,short,1727987399999,2024-10-03 20:29,0.3409,1727994779999,2024-10-03 22:32,SL,-0.9901,-1.07371,123,False
ADAUSDT,15m,Transformer,11,long,1727873099999,2024-10-02 12:44,0.3497,1727874359999,2024-10-02 13:05,SL,-1.0,-1.05805,21,False
ADAUSDT,15m,Transformer,11,short,1727987399999,2024-10-03 20:29,0.3409,1727994779999,2024-10-03 22:32,SL,-0.9901,-1.07371,123,False
ADAUSDT,15m,CNN,12,long,1727893799999,2024-10-02 18:29,0.3432,1727895539999,2024-10-02 18:58,SL,-1.0,-1.28205,29,False
ADAUSDT,15m,CNN,12,short,1727998199999,2024-10-03 23:29,0.3453,1728016319999,2024-10-04 04:31,SL,-0.9901,-1.00344,302,False
ADAUSDT,15m,LSTM,12,long,1727893799999,2024-10-02 18:29,0.3432,1727895539999,2024-10-02 18:58,SL,-1.0,-1.28205,29,False
ADAUSDT,15m,LSTM,12,short,1727998199999,2024-10-03 23:29,0.3453,1728016319999,2024-10-04 04:31,SL,-0.9901,-1.00344,302,False
ADAUSDT,15m,DQN,12,long,1727893799999,2024-10-02 18:29,0.3432,1727895539999,2024-10-02 18:58,SL,-1.0,-1.28205,29,False
ADAUSDT,15m,DQN,12,short,1727998199999,2024-10-03 23:29,0.3453,1728016319999,2024-10-04 04:31,SL,-0.9901,-1.00344,302,False
ADAUSDT,15m,PPO,12,long,1727893799999,2024-10-02 18:29,0.3432,1727895539999,2024-10-02 18:58,SL,-1.0,-1.28205,29,False
ADAUSDT,15m,PPO,12,short,1727998199999,2024-10-03 23:29,0.3453,1728016319999,2024-10-04 04:31,SL,-0.9901,-1.00344,302,False
ADAUSDT,15m,QLearning,12,long,1727893799999,2024-10-02 18:29,0.3432,1727895539999,2024-10-02 18:58,SL,-1.0,-1.28205,29,False
ADAUSDT,15m,QLearning,12,short,1727998199999,2024-10-03 23:29,0.3453,1728016319999,2024-10-04 04:31,SL,-0.9901,-1.00344,302,False
ADAUSDT,15m,Transformer,12,long,1727893799999,2024-10-02 18:29,0.3432,1727895539999,2024-10-02 18:58,SL,-1.0,-1.28205,29,False
