model,timeframe,target,variant,features,seq_len,prob_threshold,trades,wins,losses,winrate_%,final_deposit,status
DQN_1h_short_V4.pt,1h,short,4,macd|bb_upper|bb_middle|bb_lower,32,0.6,207,0,207,0.0,35.43,✅ ok
DQN_1h_short_V5.pt,1h,short,5,macd|ema_20|rsi_14,32,0.6,427,0,427,0.0,11.76,✅ ok
DQN_1h_short_V6.pt,1h,short,6,macd|ema_20|bb_upper|bb_middle|bb_lower,32,0.6,11,0,11,0.0,94.64,✅ ok
DQN_1h_short_V7.pt,1h,short,7,macd|supertrend|ema_20,32,0.6,8,0,8,0.0,96.07,✅ ok
DQN_1h_short_V8.pt,1h,short,8,macd|supertrend|rsi_14,32,0.6,223,0,223,0.0,32.7,✅ ok
DQN_1h_short_V9.pt,1h,short,9,macd|supertrend|ema_20|rsi_14,32,0.6,569,0,569,0.0,5.77,✅ ok
DQN_30m_long_V1.pt,30m,long,1,macd|supertrend,32,0.6,129,103,26,79.84,103.63,✅ ok
DQN_30m_long_V10.pt,30m,long,10,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower,32,0.6,144,112,32,77.78,101.16,✅ ok
DQN_30m_long_V11.pt,30m,long,11,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14,32,0.6,1,1,0,100.0,100.0,✅ ok
DQN_30m_long_V12.pt,30m,long,12,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv,32,0.6,24,17,7,70.83,98.4,✅ ok
DQN_30m_long_V13.pt,30m,long,13,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed,32,0.6,86,74,12,86.05,102.41,✅ ok
DQN_30m_long_V14.pt,30m,long,14,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed|pivot|r1|s1|r2|s2,32,0.6,51,40,11,78.43,99.58,✅ ok
DQN_30m_long_V15.pt,30m,long,15,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|stc|mfi_14|obv|cci_20|mom_10|roc_14|zscore_20|sar|pivot|r1|s1|r2|s2|ha_open|ha_close|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_up_angle_deg|trend_up_distance|trend_up_break_above|trend_up_break_below|trend_down_valid|trend_down_slope|trend_down_confirmed|trend_down_angle_deg|trend_down_distance|trend_down_break_above|trend_down_break_below,32,0.6,355,286,69,80.56,102.32,✅ ok
DQN_30m_long_V2.pt,30m,long,2,macd|ema_20,32,0.6,116,87,29,75.0,99.16,✅ ok
DQN_30m_long_V3.pt,30m,long,3,macd|rsi_14,32,0.6,16,13,3,81.25,101.2,✅ ok
DQN_30m_long_V4.pt,30m,long,4,macd|bb_upper|bb_middle|bb_lower,32,0.6,81,61,20,75.31,99.97,✅ ok
DQN_30m_long_V5.pt,30m,long,5,macd|ema_20|rsi_14,32,0.6,99,79,20,79.8,98.78,✅ ok
DQN_30m_long_V6.pt,30m,long,6,macd|ema_20|bb_upper|bb_middle|bb_lower,32,0.6,239,196,43,82.01,104.84,✅ ok
DQN_30m_long_V7.pt,30m,long,7,macd|supertrend|ema_20,32,0.6,75,60,15,80.0,102.4,✅ ok
DQN_30m_long_V8.pt,30m,long,8,macd|supertrend|rsi_14,32,0.6,200,155,45,77.5,104.42,✅ ok
DQN_30m_long_V9.pt,30m,long,9,macd|supertrend|ema_20|rsi_14,32,0.6,90,69,21,76.67,98.38,✅ ok
DQN_30m_short_V1.pt,30m,short,1,macd|supertrend,32,0.6,166,0,166,0.0,51.41,✅ ok
DQN_30m_short_V10.pt,30m,short,10,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower,32,0.6,154,0,154,0.0,53.94,✅ ok
DQN_30m_short_V11.pt,30m,short,11,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14,32,0.6,152,0,152,0.0,54.38,✅ ok
DQN_30m_short_V12.pt,30m,short,12,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv,32,0.6,5,0,5,0.0,98.02,✅ ok
DQN_30m_short_V13.pt,30m,short,13,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed,32,0.6,114,0,114,0.0,63.32,✅ ok
