model,timeframe,target,variant,entry_index,exit_index,entry_time,exit_time,tp_hits,pnl_pct_raw,pnl_pct_leveraged,stake_used,deposit_after,used_m1
DQN_15m_short_V10.pt,15m,short,10,75803,75804,2022-02-28 20:45:00+00:00,2022-02-28 21:00:00+00:00,0,-0.015,-0.3,0.87,86.31,False
DQN_15m_short_V10.pt,15m,short,10,76622,76623,2022-03-09 09:30:00+00:00,2022-03-09 09:45:00+00:00,0,-0.015,-0.3,0.86,86.05,False
DQN_15m_short_V10.pt,15m,short,10,77534,77535,2022-03-18 21:30:00+00:00,2022-03-18 21:45:00+00:00,0,-0.015,-0.3,0.86,85.79,False
DQN_15m_short_V10.pt,15m,short,10,77863,77864,2022-03-22 07:45:00+00:00,2022-03-22 08:00:00+00:00,0,-0.015,-0.3,0.86,85.54,False
DQN_15m_short_V10.pt,15m,short,10,78419,78420,2022-03-28 02:45:00+00:00,2022-03-28 03:00:00+00:00,0,-0.015,-0.3,0.86,85.28,False
DQN_15m_short_V10.pt,15m,short,10,82010,82011,2022-05-04 12:30:00+00:00,2022-05-04 12:45:00+00:00,0,-0.015,-0.3,0.85,85.02,False
DQN_15m_short_V10.pt,15m,short,10,83740,83741,2022-05-22 13:00:00+00:00,2022-05-22 13:15:00+00:00,0,-0.015,-0.3,0.85,84.77,False
DQN_15m_short_V10.pt,15m,short,10,84488,84489,2022-05-30 08:00:00+00:00,2022-05-30 08:15:00+00:00,0,-0.015,-0.3,0.85,84.51,False
DQN_15m_short_V10.pt,15m,short,10,85157,85158,2022-06-06 07:15:00+00:00,2022-06-06 07:30:00+00:00,0,-0.015,-0.3,0.85,84.26,False
DQN_15m_short_V10.pt,15m,short,10,85321,85322,2022-06-08 00:15:00+00:00,2022-06-08 00:30:00+00:00,0,-0.015,-0.3,0.84,84.01,False
DQN_15m_short_V10.pt,15m,short,10,94284,94285,2022-09-09 09:00:00+00:00,2022-09-09 09:15:00+00:00,0,-0.015,-0.3,0.84,83.76,False
DQN_15m_short_V10.pt,15m,short,10,109613,109614,2023-02-16 01:15:00+00:00,2023-02-16 01:30:00+00:00,0,-0.015,-0.3,0.84,83.5,False
DQN_15m_short_V10.pt,15m,short,10,112082,112083,2023-03-13 18:30:00+00:00,2023-03-13 18:45:00+00:00,0,-0.015,-0.3,0.84,83.25,False
DQN_15m_short_V10.pt,15m,short,10,112168,112169,2023-03-14 16:00:00+00:00,2023-03-14 16:15:00+00:00,0,-0.015,-0.3,0.83,83.0,False
DQN_15m_short_V10.pt,15m,short,10,113587,113588,2023-03-29 10:45:00+00:00,2023-03-29 11:00:00+00:00,0,-0.015,-0.3,0.83,82.76,False
DQN_15m_short_V10.pt,15m,short,10,114781,114782,2023-04-10 21:15:00+00:00,2023-04-10 21:30:00+00:00,0,-0.015,-0.3,0.83,82.51,False
DQN_15m_short_V10.pt,15m,short,10,116293,116294,2023-04-26 15:15:00+00:00,2023-04-26 15:30:00+00:00,0,-0.015,-0.3,0.83,82.26,False
DQN_15m_short_V10.pt,15m,short,10,117640,117641,2023-05-10 16:00:00+00:00,2023-05-10 16:15:00+00:00,0,-0.015,-0.3,0.82,82.01,False
DQN_15m_short_V10.pt,15m,short,10,120252,120253,2023-06-06 21:00:00+00:00,2023-06-06 21:15:00+00:00,0,-0.015,-0.3,0.82,81.77,False
DQN_15m_short_V10.pt,15m,short,10,121600,121601,2023-06-20 22:00:00+00:00,2023-06-20 22:15:00+00:00,0,-0.015,-0.3,0.82,81.52,False
DQN_15m_short_V10.pt,15m,short,10,128314,128315,2023-08-29 20:30:00+00:00,2023-08-29 20:45:00+00:00,0,-0.015,-0.3,0.82,81.28,False
DQN_15m_short_V10.pt,15m,short,10,131507,131508,2023-10-02 02:45:00+00:00,2023-10-02 03:00:00+00:00,0,-0.015,-0.3,0.81,81.03,False
DQN_15m_short_V10.pt,15m,short,10,135814,135815,2023-11-15 23:30:00+00:00,2023-11-15 23:45:00+00:00,0,-0.015,-0.3,0.81,80.79,False
DQN_15m_short_V10.pt,15m,short,10,136485,136486,2023-11-22 23:15:00+00:00,2023-11-22 23:30:00+00:00,0,-0.015,-0.3,0.81,80.55,False
DQN_15m_short_V10.pt,15m,short,10,137725,137726,2023-12-05 21:15:00+00:00,2023-12-05 21:30:00+00:00,0,-0.015,-0.3,0.81,80.31,False
DQN_15m_short_V10.pt,15m,short,10,140997,140998,2024-01-08 23:15:00+00:00,2024-01-08 23:30:00+00:00,0,-0.015,-0.3,0.8,80.06,False
DQN_15m_short_V10.pt,15m,short,10,142692,142693,2024-01-26 15:00:00+00:00,2024-01-26 15:15:00+00:00,0,-0.015,-0.3,0.8,79.82,False
DQN_15m_short_V10.pt,15m,short,10,144345,144346,2024-02-12 20:15:00+00:00,2024-02-12 20:30:00+00:00,0,-0.015,-0.3,0.8,79.59,False
DQN_15m_short_V10.pt,15m,short,10,144512,144513,2024-02-14 14:00:00+00:00,2024-02-14 14:15:00+00:00,0,-0.015,-0.3,0.8,79.35,False
DQN_15m_short_V10.pt,15m,short,10,145695,145696,2024-02-26 21:45:00+00:00,2024-02-26 22:00:00+00:00,0,-0.015,-0.3,0.79,79.11,False
DQN_15m_short_V10.pt,15m,short,10,145853,145854,2024-02-28 13:15:00+00:00,2024-02-28 13:30:00+00:00,0,-0.015,-0.3,0.79,78.87,False
DQN_15m_short_V10.pt,15m,short,10,147003,147004,2024-03-11 12:45:00+00:00,2024-03-11 13:00:00+00:00,0,-0.015,-0.3,0.79,78.63,False
DQN_15m_short_V10.pt,15m,short,10,147915,147916,2024-03-21 00:45:00+00:00,2024-03-21 01:00:00+00:00,0,-0.015,-0.3,0.79,78.4,False
DQN_15m_short_V10.pt,15m,short,10,148378,148379,2024-03-25 20:30:00+00:00,2024-03-25 20:45:00+00:00,0,-0.015,-0.3,0.78,78.16,False
DQN_15m_short_V10.pt,15m,short,10,149694,149695,2024-04-08 13:30:00+00:00,2024-04-08 13:45:00+00:00,0,-0.015,-0.3,0.78,77.93,False
DQN_15m_short_V10.pt,15m,short,10,152113,152114,2024-05-03 18:15:00+00:00,2024-05-03 18:30:00+00:00,0,-0.015,-0.3,0.78,77.7,False
DQN_15m_short_V10.pt,15m,short,10,162888,162889,2024-08-24 00:00:00+00:00,2024-08-24 00:15:00+00:00,0,-0.015,-0.3,0.78,77.46,False
DQN_15m_short_V10.pt,15m,short,10,170036,170037,2024-11-06 11:00:00+00:00,2024-11-06 11:15:00+00:00,0,-0.015,-0.3,0.77,77.23,False
DQN_15m_short_V10.pt,15m,short,10,170573,170574,2024-11-12 01:15:00+00:00,2024-11-12 01:30:00+00:00,0,-0.015,-0.3,0.77,77.0,False
DQN_15m_short_V10.pt,15m,short,10,170587,170588,2024-11-12 04:45:00+00:00,2024-11-12 05:00:00+00:00,0,-0.015,-0.3,0.77,76.77,False
DQN_15m_short_V10.pt,15m,short,10,170744,170745,2024-11-13 20:00:00+00:00,2024-11-13 20:15:00+00:00,0,-0.015,-0.3,0.77,76.54,False
DQN_15m_short_V10.pt,15m,short,10,170755,170756,2024-11-13 22:45:00+00:00,2024-11-13 23:00:00+00:00,0,-0.015,-0.3,0.77,76.31,False
DQN_15m_short_V10.pt,15m,short,10,172812,172813,2024-12-05 09:00:00+00:00,2024-12-05 09:15:00+00:00,0,-0.015,-0.3,0.76,76.08,False
DQN_15m_short_V10.pt,15m,short,10,174682,174683,2024-12-24 20:30:00+00:00,2024-12-24 20:45:00+00:00,0,-0.015,-0.3,0.76,75.85,False
DQN_15m_short_V10.pt,15m,short,10,177239,177240,2025-01-20 11:45:00+00:00,2025-01-20 12:00:00+00:00,0,-0.015,-0.3,0.76,75.62,False
DQN_15m_short_V10.pt,15m,short,10,177257,177258,2025-01-20 16:15:00+00:00,2025-01-20 16:30:00+00:00,0,-0.015,-0.3,0.76,75.4,False
DQN_15m_short_V10.pt,15m,short,10,178646,178647,2025-02-04 03:30:00+00:00,2025-02-04 03:45:00+00:00,0,-0.015,-0.3,0.75,75.17,False
DQN_15m_short_V10.pt,15m,short,10,181217,181218,2025-03-02 22:15:00+00:00,2025-03-02 22:30:00+00:00,0,-0.015,-0.3,0.75,74.94,False
DQN_15m_short_V10.pt,15m,short,10,181241,181242,2025-03-03 04:15:00+00:00,2025-03-03 04:30:00+00:00,0,-0.015,-0.3,0.75,74.72,False
DQN_15m_short_V10.pt,15m,short,10,181412,181413,2025-03-04 23:00:00+00:00,2025-03-04 23:15:00+00:00,0,-0.015,-0.3,0.75,74.49,False
DQN_15m_short_V10.pt,15m,short,10,184870,184871,2025-04-09 23:30:00+00:00,2025-04-09 23:45:00+00:00,0,-0.015,-0.3,0.74,74.27,False
DQN_15m_short_V10.pt,15m,short,10,184887,184888,2025-04-10 03:45:00+00:00,2025-04-10 04:00:00+00:00,0,-0.015,-0.3,0.74,74.05,False
DQN_15m_short_V11.pt,15m,short,11,0,1,2020-01-01 06:00:00+00:00,2020-01-01 06:15:00+00:00,0,-0.015,-0.3,1.0,99.7,False
DQN_15m_short_V12.pt,15m,short,12,0,1,2020-01-01 06:00:00+00:00,2020-01-01 06:15:00+00:00,0,-0.015,-0.3,1.0,99.7,False
DQN_15m_short_V12.pt,15m,short,12,37853,37854,2021-01-29 13:15:00+00:00,2021-01-29 13:30:00+00:00,0,-0.015,-0.3,1.0,99.4,False
DQN_15m_short_V12.pt,15m,short,12,38828,38829,2021-02-08 17:00:00+00:00,2021-02-08 17:15:00+00:00,0,-0.015,-0.3,0.99,99.1,False
DQN_15m_short_V12.pt,15m,short,12,54912,54913,2021-07-26 06:00:00+00:00,2021-07-26 06:15:00+00:00,0,-0.015,-0.3,0.99,98.81,False
DQN_15m_short_V12.pt,15m,short,12,55372,55373,2021-07-31 01:00:00+00:00,2021-07-31 01:15:00+00:00,0,-0.015,-0.3,0.99,98.51,False
DQN_15m_short_V12.pt,15m,short,12,61379,61380,2021-10-01 14:45:00+00:00,2021-10-01 15:00:00+00:00,0,-0.015,-0.3,0.99,98.21,False
DQN_15m_short_V12.pt,15m,short,12,61873,61874,2021-10-06 18:15:00+00:00,2021-10-06 18:30:00+00:00,0,-0.015,-0.3,0.98,97.92,False
DQN_15m_short_V12.pt,15m,short,12,63215,63216,2021-10-20 17:45:00+00:00,2021-10-20 18:00:00+00:00,0,-0.015,-0.3,0.98,97.63,False
