time,position,entry,exit,pnl,balance,exited
2024-11-22 07:45:00,LONG,99173.7,101228.0,1119.0,408165.7,100%
2024-11-22 08:00:00,LONG,99023.98,98940.04,50.71,408216.41,100%
2024-11-22 08:15:00,LONG,99138.75,101228.0,1151.39,409367.8,100%
2024-11-22 08:30:00,LONG,98785.49,98750.99,81.43,409449.24,100%
2024-11-22 09:15:00,LONG,98468.92,98940.04,515.86,409965.1,100%
2024-11-22 10:30:00,LONG,98414.48,98392.0,91.25,410056.34,100%
2024-11-22 11:00:00,LONG,98564.33,98534.0,106.52,410162.86,100%
2024-11-22 13:00:00,LONG,98344.0,98823.06,514.06,410676.92,100%
2024-11-22 13:15:00,LONG,97596.3,97596.3,165.18,410842.1,100%
2024-11-22 13:30:00,LONG,97611.03,97556.0,71.91,410914.01,100%
2024-11-22 13:45:00,LONG,97763.54,98241.02,510.37,411424.38,100%
2024-11-22 14:00:00,LONG,98013.04,98940.04,822.5,412246.88,100%
2024-11-22 14:15:00,LONG,97664.01,98600.01,837.85,413084.73,100%
2024-11-22 14:30:00,LONG,97685.98,98660.0,833.46,413918.19,100%
2024-11-22 14:45:00,LONG,97296.0,99255.98,1048.55,414966.74,100%
2024-11-22 15:00:00,LONG,97952.0,98909.09,860.18,415826.92,100%
2024-11-22 15:15:00,LONG,98292.34,98750.99,522.6,416349.52,100%
2024-11-22 15:30:00,LONG,98702.2,98666.66,90.1,416439.62,100%
2024-11-22 15:45:00,LONG,98664.0,98660.0,103.7,416543.32,100%
2024-11-22 16:00:00,LONG,98229.42,98703.0,522.42,417065.74,100%
2024-11-22 16:15:00,LONG,98508.34,98940.04,506.72,417572.46,100%
2024-11-22 16:30:00,LONG,98616.09,98600.01,106.5,417678.97,100%
2024-11-22 16:45:00,LONG,98865.3,98862.01,106.9,417785.87,100%
2024-11-22 17:00:00,LONG,99144.0,101228.0,1173.9,418959.76,100%
2024-11-22 17:15:00,LONG,99127.99,101228.0,1190.92,420150.68,100%
2024-11-22 17:30:00,LONG,98878.78,98862.01,96.06,420246.74,100%
2024-11-22 17:45:00,LONG,98801.87,98800.0,108.89,420355.63,100%
2024-11-22 18:00:00,LONG,99005.22,98940.04,68.17,420423.8,100%
2024-11-22 18:15:00,LONG,98703.0,98666.66,89.24,420513.04,100%
2024-11-22 18:30:00,LONG,98933.89,98933.35,109.34,420622.38,100%
2024-11-22 18:45:00,LONG,99108.87,101228.0,1212.1,421834.48,100%
2024-11-22 19:00:00,LONG,99212.12,101312.02,1369.53,423204.01,100%
2024-11-22 19:15:00,SHORT,99361.5,97365.76,1089.14,424293.15,100%
2024-11-22 19:30:00,LONG,99197.94,101312.02,1389.84,425682.99,100%
2024-11-22 19:45:00,LONG,99079.74,101228.0,1252.08,426935.07,100%
2024-11-22 20:00:00,LONG,99244.0,101312.02,1358.22,428293.28,100%
2024-11-22 20:15:00,SHORT,99242.99,97253.49,1089.65,429382.93,100%
2024-11-22 20:30:00,LONG,98982.89,101228.0,1214.39,430597.32,100%
