family,tf,variant,tf_data_exists,m1_exists,long_model,short_model,long_ext,short_ext,long_spec,short_spec,long_spec_feats,short_spec_feats,long_trades_rows,short_trades_rows,long_issues,short_issues,issues_overall,hint
DQN,1d,V5,True,True,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V5.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V5.pt,.pt,.pt,True,True,3,3,749,607,ok,ok,ok,ok
DQN,1d,V6,True,True,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V6.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V6.pt,.pt,.pt,True,True,5,5,573,755,ok,ok,ok,ok
DQN,1d,V7,True,True,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V7.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V7.pt,.pt,.pt,True,True,3,3,459,867,ok,ok,ok,ok
DQN,1d,V8,True,True,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V8.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V8.pt,.pt,.pt,True,True,3,3,386,989,ok,ok,ok,ok
DQN,1d,V9,True,True,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V9.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V9.pt,.pt,.pt,True,True,4,4,631,757,ok,ok,ok,ok
DQN,1d,V10,True,True,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V10.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V10.pt,.pt,.pt,True,True,7,7,217,1161,ok,ok,ok,ok
DQN,1d,V11,True,True,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V11.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V11.pt,.pt,.pt,True,True,8,8,599,767,ok,ok,ok,ok
DQN,1d,V12,True,True,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V12.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V12.pt,.pt,.pt,True,True,9,9,513,816,ok,ok,ok,ok
DQN,1d,V13,True,True,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V13.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V13.pt,.pt,.pt,True,True,15,15,1321,0,ok,no_trades_csv_or_empty,no_trades_csv_or_empty,запустити бектест або перевірити умови відкриття/сигнали
DQN,1d,V14,True,True,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V14.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V14.pt,.pt,.pt,True,True,20,20,1321,0,ok,no_trades_csv_or_empty,no_trades_csv_or_empty,запустити бектест або перевірити умови відкриття/сигнали
DQN,1d,V15,True,True,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V15.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V15.pt,.pt,.pt,True,True,36,36,1321,1318,ok,ok,ok,ok
DQN,4h,V1,True,True,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_4h_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_4h_short_V1.pt,.pt,.pt,True,True,36,36,4409,0,ok,no_trades_csv_or_empty,no_trades_csv_or_empty,запустити бектест або перевірити умови відкриття/сигнали
DQN,4h,V2,True,True,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_4h_long_V2.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_4h_short_V2.pt,.pt,.pt,True,True,2,2,1357,3216,ok,ok,ok,ok
